#K-Path(1/A)  Energy(eV)      Weight
# Band-Index    1
      3.8875    -66.1120      0.0000
      3.9301    -66.1120      0.0000
      3.9727    -66.1120      0.0000
      4.0153    -66.1120      0.0000
      4.0579    -66.1120      0.0000
      4.0579    -66.1120      0.0000
      4.1014    -66.1119      0.0000
      4.1448    -66.1118      0.0000
      4.1883    -66.1116      0.0000
      4.2317    -66.1113      0.0000
      4.2752    -66.1109      0.0000
      4.3186    -66.1115      0.0000
      4.3621    -66.1112      0.0000
      4.4056    -66.1112      0.0000
      4.4490    -66.1115      0.0000
      4.4925    -66.1109      1.0000
      4.5359    -66.1113      1.0000
      4.5794    -66.1116      1.0000
      4.6228    -66.1118      1.0000
      4.6663    -66.1119      1.0000
      4.7098    -66.1120      1.0000
      4.7098    -66.1120      1.0000
      4.7536    -66.1119      1.0000
      4.7974    -66.1118      1.0000
      4.8412    -66.1116      1.0000
      4.8851    -66.1113      1.0000
      4.9289    -66.1111      0.0000
      4.9727    -66.1115      0.0000
      5.0166    -66.1111      0.0000
      5.0604    -66.1111      0.0000
      5.1042    -66.1115      0.0000
      5.1481    -66.1111      0.0000
      5.1919    -66.1113      0.0000
      5.2357    -66.1116      0.0000
      5.2796    -66.1118      0.0000
      5.3234    -66.1119      0.0000
      5.3672    -66.1120      0.0000
      5.3672    -66.1120      0.0000
      5.4098    -66.1120      0.0000
      5.4524    -66.1120      0.0000
      5.4950    -66.1120      0.0000
      5.5376    -66.1120      0.0000
      5.5802    -66.1120      0.0000
      5.6228    -66.1120      0.0000
      5.6653    -66.1120      0.0000
      5.7079    -66.1120      0.0000
      5.7505    -66.1120      0.0000
      5.7931    -66.1120      0.0000
      5.8357    -66.1120      0.0000
      5.8783    -66.1120      0.0000
      5.9209    -66.1120      0.0000
      5.9635    -66.1120      0.0000
      6.0061    -66.1120      0.0000
      6.0487    -66.1120      0.0000
      6.0487    -66.1120      0.0000
      6.0925    -66.1119      0.0000
      6.1363    -66.1118      0.0000
      6.1801    -66.1116      0.0000
      6.2240    -66.1113      0.0000
      6.2678    -66.1111      1.0000
      6.3116    -66.1115      0.0000
      6.3555    -66.1111      0.0000
      6.3993    -66.1111      0.0000
      6.4431    -66.1115      0.0000
      6.4870    -66.1111      0.0000
      6.5308    -66.1113      0.0000
      6.5746    -66.1116      0.0000
      6.6185    -66.1118      0.0000
      6.6623    -66.1119      0.0000
      6.7061    -66.1120      0.0000
# Band-Index    4
      6.7061    -66.1120      0.0000
      6.6623    -66.1119      0.0000
      6.6185    -66.1118      0.0000
      6.5746    -66.1116      0.0000
      6.5308    -66.1113      0.0000
      6.4870    -66.1109      0.0000
      6.4431    -66.1105      0.0000
      6.3993    -66.1107      0.0000
      6.3555    -66.1107      0.0000
      6.3116    -66.1105      0.0000
      6.2678    -66.1109      0.0000
      6.2240    -66.1113      0.0000
      6.1801    -66.1116      0.0000
      6.1363    -66.1118      0.0000
      6.0925    -66.1119      0.0000
      6.0487    -66.1120      0.0000
      6.0487    -66.1120      0.0000
      6.0061    -66.1120      0.0000
      5.9635    -66.1120      0.0000
      5.9209    -66.1120      0.0000
      5.8783    -66.1119      0.0000
      5.8357    -66.1119      0.0000
      5.7931    -66.1120      0.0000
      5.7505    -66.1120      0.0000
      5.7079    -66.1120      0.0000
      5.6653    -66.1120      0.0000
      5.6228    -66.1120      0.0000
      5.5802    -66.1119      0.0000
      5.5376    -66.1119      0.0000
      5.4950    -66.1120      0.0000
      5.4524    -66.1120      0.0000
      5.4098    -66.1120      0.0000
      5.3672    -66.1120      0.0000
      5.3672    -66.1120      0.0000
      5.3234    -66.1119      0.0000
      5.2796    -66.1118      0.0000
      5.2357    -66.1116      0.0000
      5.1919    -66.1113      0.0000
      5.1481    -66.1109      0.0000
      5.1042    -66.1105      0.0000
      5.0604    -66.1107      0.0000
      5.0166    -66.1107      0.0000
      4.9727    -66.1105      1.0000
      4.9289    -66.1109      1.0000
      4.8851    -66.1113      1.0000
      4.8412    -66.1116      1.0000
      4.7974    -66.1118      1.0000
      4.7536    -66.1119      1.0000
      4.7098    -66.1120      0.0000
      4.7098    -66.1120      0.0000
      4.6663    -66.1119      1.0000
      4.6228    -66.1118      1.0000
      4.5794    -66.1116      1.0000
      4.5359    -66.1113      1.0000
      4.4925    -66.1109      1.0000
      4.4490    -66.1105      0.0000
      4.4056    -66.1109      0.0000
      4.3621    -66.1109      0.0000
      4.3186    -66.1105      0.0000
      4.2752    -66.1109      0.0000
      4.2317    -66.1113      0.0000
      4.1883    -66.1116      0.0000
      4.1448    -66.1118      0.0000
      4.1014    -66.1119      0.0000
      4.0579    -66.1120      0.0000
      4.0579    -66.1120      0.0000
      4.0153    -66.1120      0.0000
      3.9727    -66.1120      0.0000
      3.9301    -66.1120      0.0000
      3.8875    -66.1119      0.0000
      3.8449    -66.1119      0.0000
      3.8024    -66.1120      0.0000
      3.7598    -66.1120      0.0000
      3.7172    -66.1120      0.0000
      3.6746    -66.1120      0.0000
      3.6320    -66.1120      0.0000
      3.5894    -66.1119      0.0000
      3.5468    -66.1119      0.0000
      3.5042    -66.1120      0.0000
      3.4616    -66.1120      0.0000
      3.4191    -66.1120      0.0000
      3.3765    -66.1120      0.0000
      3.3765    -66.1120      0.0000
      3.3330    -66.1119      0.0000
      3.2896    -66.1118      0.0000
      3.2461    -66.1116      0.0000
      3.2026    -66.1113      0.0000
      3.1592    -66.1109      0.0000
      3.1157    -66.1105      0.0000
      3.0723    -66.1109      0.0000
      3.0288    -66.1109      0.0000
      2.9854    -66.1105      0.0000
      2.9419    -66.1109      0.0000
      2.8984    -66.1113      0.0000
      2.8550    -66.1116      0.0000
      2.8115    -66.1118      0.0000
      2.7681    -66.1119      0.0000
      2.7246    -66.1120      0.0000
      2.7246    -66.1120      0.0000
      2.6821    -66.1120      0.0000
      2.6395    -66.1120      0.0000
      2.5969    -66.1120      0.0000
      2.5544    -66.1120      0.0000
      2.5118    -66.1120      0.0000
      2.4693    -66.1120      0.0000
      2.4267    -66.1120      0.0000
      2.3842    -66.1120      0.0000
      2.3416    -66.1120      0.0000
      2.2991    -66.1120      0.0000
      2.2565    -66.1120      0.0000
      2.2140    -66.1120      0.0000
      2.1714    -66.1120      0.0000
      2.1288    -66.1120      0.0000
      2.0863    -66.1120      0.0000
      2.0437    -66.1120      1.0000
      2.0437    -66.1120      1.0000
      2.0011    -66.1120      1.0000
      1.9586    -66.1120      1.0000
      1.9160    -66.1120      1.0000
      1.8734    -66.1119      1.0000
      1.8308    -66.1119      1.0000
      1.7882    -66.1120      1.0000
      1.7456    -66.1120      1.0000
      1.7030    -66.1120      0.7732
      1.6604    -66.1120      0.0000
      1.6178    -66.1120      0.0000
      1.5753    -66.1119      0.0000
      1.5327    -66.1119      0.0000
      1.4901    -66.1120      0.0000
      1.4475    -66.1120      0.0000
      1.4049    -66.1120      0.0000
      1.3623    -66.1120      0.0000
      1.3623    -66.1120      0.0000
      1.3198    -66.1120      0.0000
      1.2772    -66.1120      0.0000
      1.2346    -66.1120      0.0000
      1.1921    -66.1120      0.0000
      1.1495    -66.1120      0.0000
      1.1070    -66.1120      0.0000
      1.0644    -66.1120      0.0000
      1.0219    -66.1120      0.2875
      0.9793    -66.1120      1.0000
      0.9368    -66.1120      1.0000
      0.8942    -66.1120      1.0000
      0.8516    -66.1120      1.0000
      0.8091    -66.1120      1.0000
      0.7665    -66.1120      1.0000
      0.7240    -66.1120      1.0000
      0.6814    -66.1120      0.0000
      0.6814    -66.1120      0.0000
      0.6388    -66.1120      0.0000
      0.5963    -66.1120      0.0000
      0.5537    -66.1120      0.0000
      0.5111    -66.1119      0.0000
      0.4685    -66.1119      0.0000
      0.4259    -66.1120      0.0000
      0.3833    -66.1120      0.0000
      0.3407    -66.1120      0.0000
      0.2981    -66.1120      0.0000
      0.2555    -66.1120      0.0000
      0.2129    -66.1119      0.0000
      0.1704    -66.1119      0.0000
      0.1278    -66.1120      0.0000
      0.0852    -66.1120      0.0000
      0.0426    -66.1120      0.0000
      0.0000    -66.1120      0.0000
# Band-Index    5
      0.0000    -66.1120      0.0000
      0.0426    -66.1119      0.0000
      0.0852    -66.1119      0.0000
      0.1278    -66.1119      0.0000
      0.1704    -66.1119      0.0000
      0.2129    -66.1119      0.0000
      0.2555    -66.1119      0.0000
      0.2981    -66.1119      0.0000
      0.3407    -66.1119      0.0000
      0.3833    -66.1119      0.0000
      0.4259    -66.1119      0.0000
      0.4685    -66.1119      0.0000
      0.5111    -66.1119      0.0000
      0.5537    -66.1119      0.0000
      0.5963    -66.1119      0.0000
      0.6388    -66.1119      0.0000
      0.6814    -66.1120      0.0000
      0.6814    -66.1120      0.0000
      0.7240    -66.1119      0.0000
      0.7665    -66.1119      0.0000
      0.8091    -66.1119      0.0000
      0.8516    -66.1119      0.0000
      0.8942    -66.1119      0.0000
      0.9368    -66.1119      0.0000
      0.9793    -66.1120      0.0000
      1.0219    -66.1120      0.2415
      1.0644    -66.1120      1.0000
      1.1070    -66.1119      1.0000
      1.1495    -66.1119      1.0000
      1.1921    -66.1119      1.0000
      1.2346    -66.1119      1.0000
      1.2772    -66.1119      1.0000
      1.3198    -66.1119      1.0000
      1.3623    -66.1120      0.0000
      1.3623    -66.1120      0.0000
      1.4049    -66.1119      1.0000
      1.4475    -66.1119      1.0000
      1.4901    -66.1119      1.0000
      1.5327    -66.1119      1.0000
      1.5753    -66.1119      1.0000
      1.6178    -66.1119      1.0000
      1.6604    -66.1119      1.0000
      1.7030    -66.1119      0.6837
      1.7456    -66.1119      0.0000
      1.7882    -66.1119      0.0000
      1.8308    -66.1119      0.0000
      1.8734    -66.1119      0.0000
      1.9160    -66.1119      0.0000
      1.9586    -66.1119      0.0000
      2.0011    -66.1119      0.0000
      2.0437    -66.1120      1.0000
      2.0437    -66.1120      1.0000
      2.0863    -66.1119      0.0000
      2.1288    -66.1119      0.0000
      2.1714    -66.1119      0.0000
      2.2140    -66.1119      0.0000
      2.2565    -66.1119      0.0000
      2.2991    -66.1119      0.0000
      2.3416    -66.1120      0.0000
      2.3842    -66.1120      0.0000
      2.4267    -66.1120      0.0000
      2.4693    -66.1119      0.0000
      2.5118    -66.1119      0.0000
      2.5544    -66.1119      0.0000
      2.5969    -66.1119      0.0000
      2.6395    -66.1119      0.0000
      2.6821    -66.1119      0.0000
      2.7246    -66.1120      0.0000
      2.7246    -66.1120      0.0000
      2.7681    -66.1119      0.0000
      2.8115    -66.1117      0.0000
      2.8550    -66.1115      0.0000
      2.8984    -66.1112      0.0000
      2.9419    -66.1108      0.0000
      2.9854    -66.1105      0.0000
      3.0288    -66.1100      0.0000
      3.0723    -66.1100      0.0000
      3.1157    -66.1105      0.0000
      3.1592    -66.1108      0.0000
      3.2026    -66.1112      0.0000
      3.2461    -66.1115      0.0000
      3.2896    -66.1117      0.0000
      3.3330    -66.1119      0.0000
      3.3765    -66.1120      0.0000
      3.3765    -66.1120      0.0000
      3.4191    -66.1119      0.0000
      3.4616    -66.1119      0.0000
      3.5042    -66.1119      0.0000
      3.5468    -66.1119      0.0000
      3.5894    -66.1119      0.0000
      3.6320    -66.1119      0.0000
      3.6746    -66.1119      0.0000
      3.7172    -66.1119      0.0000
      3.7598    -66.1119      0.0000
      3.8024    -66.1119      0.0000
      3.8449    -66.1119      0.0000
      3.8875    -66.1119      0.0000
      3.9301    -66.1119      0.0000
      3.9727    -66.1119      0.0000
      4.0153    -66.1119      0.0000
      4.0579    -66.1120      0.0000
      4.0579    -66.1120      0.0000
      4.1014    -66.1119      0.0000
      4.1448    -66.1117      0.0000
      4.1883    -66.1115      0.0000
      4.2317    -66.1112      0.0000
      4.2752    -66.1108      0.0000
      4.3186    -66.1105      0.0000
      4.3621    -66.1100      0.0000
      4.4056    -66.1100      1.0000
      4.4490    -66.1105      1.0000
      4.4925    -66.1108      0.0000
      4.5359    -66.1112      0.0000
      4.5794    -66.1115      0.0000
      4.6228    -66.1117      0.0000
      4.6663    -66.1119      0.0000
      4.7098    -66.1120      0.0000
      4.7098    -66.1120      0.0000
      4.7536    -66.1119      0.0000
      4.7974    -66.1117      0.0000
      4.8412    -66.1115      0.0000
      4.8851    -66.1112      0.0000
      4.9289    -66.1109      1.0000
      4.9727    -66.1105      1.0000
      5.0166    -66.1100      1.0000
      5.0604    -66.1100      0.0000
      5.1042    -66.1105      0.0000
      5.1481    -66.1109      0.0000
      5.1919    -66.1112      0.0000
      5.2357    -66.1115      0.0000
      5.2796    -66.1117      0.0000
      5.3234    -66.1119      0.0000
      5.3672    -66.1120      0.0000
      5.3672    -66.1120      0.0000
      5.4098    -66.1119      0.0000
      5.4524    -66.1119      0.0000
      5.4950    -66.1119      0.0000
      5.5376    -66.1119      0.0000
      5.5802    -66.1119      0.0000
      5.6228    -66.1119      0.0000
      5.6653    -66.1119      0.0000
      5.7079    -66.1119      0.0000
      5.7505    -66.1119      0.0000
      5.7931    -66.1119      0.0000
      5.8357    -66.1119      0.0000
      5.8783    -66.1119      0.0000
      5.9209    -66.1119      0.0000
      5.9635    -66.1119      0.0000
      6.0061    -66.1119      0.0000
